# "A Modern Mean Dwarf Stellar Color and Effective Temperature Sequence"
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Eric Mamajek
# Version 2018.08.02
#
# Much of the content (but not all) of this table was incorporated
# into Table 5 of Pecaut & Mamajek (2013, ApJS, 208, 9;
# http://adsabs.harvard.edu/abs/2013ApJS..208....9P), so that
# reference should be cited. Parts of this table for A/F/G stars also
# appeared in Table 3 of Pecaut, Mamajek, & Bubar (2012, ApJ 756,
# 154).  For example, Table 5 of Pecaut & Mamajek did not include the
# absolute magnitude and luminosity estimates, nor the properties of
# the LTY dwarfs. 
#
# The author's notes on standard stars and mean parameters for stars
# for each dwarf spectral type can be found in the directory at:
# http://www.pas.rochester.edu/~emamajek/spt/. See further notes and
# caveats after the table. Colors are based on Johnson UBV, Tycho
# BtVt, Cousins RcIc, Gaia *DR1* G, Sloan izY, 2MASS JHKs, and WISE
# W1/W2/W3/W4 photometry.
#
# I will include Gaia DR2 colors soon. The G mags below are for Gaia DR1. 
#
#SpT   Teff  logT   BCv    Mv    logL  B-V    Bt-Vt  V-G    U-B     V-Rc   V-Ic    V-Ks    J-H     H-Ks    Ks-W1   W1-W2  W1-W3  W1-W4  Msun  logAge b-y     M_J    M_Ks   Mbol i-z  z-Y  R_Rsun  #SpT  
O3V    46000 4.663 -4.05  -5.7   5.80 -0.32   ...    ...   -1.22    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....   ....   ....  -9.75 ...  ...  12.5    O3V   
O4V    43000 4.633 -3.92  -5.5   5.67 -0.32   ...    ...   -1.20    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....   ....   ....  -9.42 ...  ...  12.3    O4V   
O5V    41500 4.618 -3.77  -5.4   5.58 -0.32   ...    ...   -1.19    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...   -0.133   ....   ....  -9.20 ...  ...  11.9    O5V   
O5.5V  40000 4.602 -3.65  -5.2   5.46 -0.32   ...    ...   -1.18    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...   -0.133   ....   ....  -8.90 ...  ...  11.2    O5.5V 
O6V    39000 4.591 -3.57  -5.1   5.37 -0.32   ...    ...   -1.17    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...   -0.132   ....   ....  -8.67 ...  ...  10.6    O6V   
O6.5V  37300 4.573 -3.45  -4.9   5.24 -0.32   ...    ...   -1.16    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...   -0.131   ....   ....  -8.35 ...  ...  10.0    O6.5V 
O7V    36500 4.562 -3.38  -4.8   5.17 -0.32   ...    ...   -1.15    ...    .....   .....   .....   .....   ...     ...    ...    ...    28    ...   -0.130   ....   ....  -8.18 ...  ...  9.62    O7V   
O7.5V  35000 4.544 -3.27  -4.6   5.05 -0.32   ...    ...   -1.14    ...    .....   .....   .....   .....   ...     ...    ...    ...    24    ...   -0.130   ....   ....  -7.87 ...  ...  9.11    O7.5V 
O8V    34500 4.538 -3.22  -4.5   4.99 -0.32   ...    ...   -1.13    ...    .....   .....   .....   .....   ...     ...    ...    ...    22.9  ...   -0.129   ....   ....  -7.72 ...  ...  8.75    O8V   
O8.5V  33000 4.519 -3.13  -4.3   4.87 -0.32   ...    ...   -1.12    ...    .....   .....   .....   .....   ...     ...    ...    ...    20.5  ...   -0.128   ....   ....  -7.43 ...  ...  8.33    O8.5V 
O9V    32500 4.512 -3.09  -4.2   4.82 -0.318  ...    ...   -1.114   ...   -0.369  -1.000  -0.164  -0.071   ...     ...    ...    ...    19.7  6.6*  -0.127  -3.44  -3.20  -7.29 ...  ...  8.11    O9V   
O9.5V  32000 4.505 -3.06  -4.1   4.76 -0.312  ...    ...   -1.087   ...   -0.361  -0.977  -0.161  -0.069   ...     ...    ...    ...    18.5  6.7*  -0.125  -3.35  -3.12  -7.15 ...  ...  7.80    O9.5V 
B0V    31500 4.498 -3.02  -4.0   4.70 -0.307  ...    ...   -1.067   ...   -0.355  -0.958  -0.159  -0.067   ...     ...    ...    ...    17.5  6.8*  -0.122  -3.27  -3.04  -7.02 ...  ...  7.53    B0V   
B0.5V  29000 4.462 -2.87  -3.6   4.47 -0.295  ...    ...   -1.026   ...   -0.338  -0.913  -0.153  -0.063   ...     ...    ...    ...    15    6.9*  -0.120  -2.90  -2.69  -6.43 ...  ...  6.81    B0.5V 
B1V    26000 4.415 -2.61  -3.1   4.13 -0.278  ...    ...   -0.995  -0.115 -0.325  -0.874  -0.148  -0.059   ...     ...    ...    ...    11    7.0*  -0.113  -2.43  -2.23  -5.68 ...  ...  5.72    B1V   
B1.5V  24500 4.389 -2.43  -2.8   3.89 -0.252 -0.274  ...   -0.910  -0.114 -0.281  -0.752  -0.132  -0.047   0.035   ...    ...    ...    10    7.1*  -0.103  -2.23  -2.05  -5.24 ...  ...  4.89    B1.5V 
B2V    20600 4.314 -2.06  -1.7   3.38 -0.210 -0.219  ...   -0.790  -0.094 -0.230  -0.602  -0.113  -0.032   0.036   ...    ...    ...    7.3   7.2*  -0.094  -1.24  -1.10  -3.71 ...  ...  3.85    B2V   
B2.5V  18500 4.267 -1.79  -1.4   3.10 -0.198 -0.206  ...   -0.732  -0.087 -0.210  -0.544  -0.105  -0.026   0.036   ...    ...    ...    6.1   7.3*  -0.087  -0.99  -0.86  -3.15 ...  ...  3.45    B2.5V  
B3V    17000 4.230 -1.58  -1.1   2.96 -0.178 -0.184  ...   -0.673  -0.080 -0.192  -0.492  -0.098  -0.021   0.036   ...    ...    ...    5.4   7.4*  -0.083  -0.73  -0.61  -2.64 ...  ...  3.48    B3V   
B4V    16700 4.223 -1.53  -1.0   2.91 -0.165 -0.170  ...   -0.619  -0.074 -0.176  -0.447  -0.092  -0.016   0.036   ...    ...    ...    5.0   7.5*  -0.078  -0.66  -0.55  -2.52 ...  ...  3.41    B4V    
B5V    15700 4.196 -1.35  -0.9   2.80 -0.156 -0.160  ...   -0.581  -0.070 -0.165  -0.417  -0.089  -0.013   0.036  -0.045 -0.117 -0.070  4.6   7.7*  -0.072  -0.59  -0.48  -2.25 ...  ...  3.40    B5V    
B6V    14500 4.161 -1.16  -0.5   2.54 -0.140 -0.142  ...   -0.504  -0.062 -0.145  -0.358  -0.081  -0.007   0.035  -0.045 -0.117 -0.070  4.0   7.8*  -0.066  -0.23  -0.14  -1.66 ...  ...  2.95    B6V    
B7V    14000 4.146 -1.07  -0.4   2.49 -0.128 -0.129  ...   -0.459  -0.058 -0.133  -0.325  -0.077  -0.004   0.035  -0.045 -0.117 -0.070  3.9   7.9*  -0.062  -0.16  -0.08  -1.47 ...  ...  2.99    B7V    
B8V    12500 4.097 -0.81  -0.2   2.27 -0.109 -0.107  ...   -0.364  -0.048 -0.108  -0.254  -0.067   0.003   0.034  -0.046 -0.116 -0.067  3.4   8.1*  -0.045  -0.01   0.05  -0.91 ...  ...  2.91    B8V    
B9V    10700 4.029 -0.42   0.7   1.79 -0.070 -0.063  ...   -0.200  -0.028 -0.061  -0.121  -0.050   0.016   0.032  -0.063 -0.104 -0.054  2.8   8.3*  -0.029   0.79   0.82   0.28 ...  ...  2.28    B9V    
B9.5V  10400 4.017 -0.38   0.8   1.73 -0.050 -0.040  ...   -0.130  -0.017 -0.035  -0.048  -0.044   0.021   0.031  -0.044 -0.091 -0.043  2.5   8.4*  -0.021   0.83   0.85   0.44 ...  ...  2.26    B9.5V
A0V    9700  3.987 -0.24   1.11  1.54  0.000  0.013 -0.084 -0.005   0.001  0.004   0.041  -0.032   0.028   0.030  -0.041 -0.074 -0.022  2.3   8.5    0.000   1.07   1.07   0.87 ...  ...  2.09    A0V   
A1V    9200  3.965 -0.15   1.34  1.41  0.043  0.056 -0.055  0.033   0.019  0.044   0.101  -0.024   0.031   0.030  -0.036 -0.068 -0.023  2.15  8.6    0.017   1.25   1.24   1.19 ...  ...  2.00    A1V   
A2V    8840  3.946 -0.10   1.48  1.33  0.074  0.091 -0.036  0.063   0.042  0.091   0.188  -0.010   0.034   0.029  -0.034 -0.067 -0.029  2.05  8.7    0.038   1.32   1.29   1.38 ...  ...  1.97    A2V   
A3V    8550  3.932 -0.06   1.55  1.29  0.090  0.109 -0.027  0.077   0.050  0.108   0.228  -0.002   0.034   0.029  -0.033 -0.066 -0.029  2.00  8.7    0.055   1.35   1.32   1.49 ...  ...  2.01    A3V   
A4V    8270  3.917 -0.04   1.76  1.20  0.140  0.166  0.001  0.097   0.078  0.164   0.353   0.022   0.037   0.029  -0.031 -0.059 -0.021  1.90  8.8    0.071   1.47   1.41   1.72 ...  ...  1.94    A4V   
A5V    8080  3.907 -0.03   1.84  1.16  0.160  0.185  0.012  0.100   0.089  0.186   0.403   0.031   0.038   0.029  -0.030 -0.058 -0.021  1.85  8.8    0.090   1.51   1.44   1.81 ...  ...  1.94    A5V   
A6V    8000  3.903 -0.02   1.89  1.14  0.170  0.194  0.017  0.098   0.094  0.197   0.428   0.036   0.038   0.029  -0.030 -0.057 -0.018  1.83  8.9    0.099   1.54   1.46   1.87 ...  ...  1.93    A6V   
A7V    7800  3.892  0.00   2.07  1.06  0.210  0.233  0.037  0.091   0.117  0.242   0.528   0.055   0.040   0.029  -0.030 -0.056 -0.017  1.76  8.9    0.107   1.64   1.54   2.07 ...  ...  1.86    A7V   
